year;name;boxOfficeId;won;twitter_mentions
2005;Transamerica;transamerica;0;81
2005;Pride & Prejudice;;0;0
2005;North Country;northcountry;0;104
2005;Walk the Line;walktheline;1;120
2005;Junebug;junebug;0;224
2005;Capote;capote;0;7058
2005;North Country;northcountry;0;104
2005;The Constant Gardener;constantgardener;1;13
2005;Brokeback Mountain;brokebackmountain;0;2099
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;27
2005;Harry Potter and the Goblet of Fire;harrypotter4;0;62
2005;King Kong;kingkong05;0;857
2005;Memoirs of a Geisha;memoirsofageisha;1;10
2005;Pride & Prejudice;;0;0
2005;Batman Begins;batmanbegins;0;372
2005;Brokeback Mountain;brokebackmountain;0;2099
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;27
2005;Memoirs of a Geisha;memoirsofageisha;1;10
2005;The New World;newworld;0;182
2005;Charlie and the Chocolate Factory;charliechocolate;0;1748
2005;Memoirs of a Geisha;memoirsofageisha;1;10
2005;Mrs. Henderson Presents;mrshendersonpresents;0;1
2005;Pride & Prejudice;;0;0
2005;Walk the Line;walktheline;0;120
2005;Brokeback Mountain;brokebackmountain;1;2099
2005;Capote;capote;0;7058
2005;Crash;crash05;0;220560
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;27
2005;Munich;munich;0;162782
2005;Cinderella Man;cinderellaman;0;81
2005;The Constant Gardener;constantgardener;0;13
2005;Crash;crash05;1;220560
2005;Munich;munich;0;162782
2005;Walk the Line;walktheline;0;120
2005;Joyeux Noël;;0;179
2005;Paradise Now;paradisenow;0;5
2005;Sophie Scholl - The Final Days;sophiescholl;0;24
2005;Tsotsi;tsotsi;1;66
2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;narnia;1;74
2005;Cinderella Man;cinderellaman;0;81
2005;Star Wars: Episode III Revenge of the Sith;;0;17376
2005;Brokeback Mountain;brokebackmountain;0;2099
2005;Capote;capote;0;7058
2005;Crash;crash05;1;220560
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;27
2005;Munich;munich;0;162782
2005;King Kong;kingkong05;1;857
2005;Memoirs of a Geisha;memoirsofageisha;0;10
2005;War of the Worlds;waroftheworlds;0;79
2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;narnia;0;74
2005;King Kong;kingkong05;1;857
2005;War of the Worlds;waroftheworlds;0;79
2005;Brokeback Mountain;brokebackmountain;1;2099
2005;Capote;capote;0;7058
2005;The Constant Gardener;constantgardener;0;13
2005;A History of Violence;historyofviolence;0;10
2005;Munich;munich;0;162782
2005;Crash;crash05;1;220560
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;27
2005;Match Point;matchpoint;0;994
2005;The Squid and the Whale;squidandthewhale;0;27
2005;Syriana;syriana;0;1561
2006;Blood Diamond;blooddiamond;0;206
2006;Half Nelson;halfnelson;0;29
2006;Venus;venus;0;10993
2006;The Pursuit of Happyness;pursuitofhappyness;0;113
2006;The Last King of Scotland;lastkingofscotland;1;11
2006;Little Miss Sunshine;littlemisssunshine;1;1785
2006;Little Children;littlechildren;0;59
2006;Blood Diamond;blooddiamond;0;206
2006;Dreamgirls;dreamgirls;0;118
2006;The Departed;departed;0;1872
2006;Volver;volver;0;5855
2006;Notes on a Scandal;notesonascandal;0;16
2006;The Queen;queen;1;36259
2006;The Devil Wears Prada;devilwearsprada;0;377
2006;Little Children;littlechildren;0;59
2006;Babel;babel;0;20227
2006;Notes on a Scandal;notesonascandal;0;16
2006;Little Miss Sunshine;littlemisssunshine;0;1785
2006;Dreamgirls;dreamgirls;1;118
2006;Babel;babel;0;20227
2006;Dreamgirls;dreamgirls;0;118
2006;The Good Shepherd;goodshepherd;0;16
2006;Pirates of the Caribbean: Dead Man's Chest;piratesofthecaribbean2;0;1017
2006;The Prestige;prestige;0;191
2006;The Black Dahlia;blackdahlia;0;29
2006;Children of Men;childrenofmen;0;114
2006;The Illusionist;illusionist;0;45
2006;The Prestige;prestige;0;191
2006;Curse of the Golden Flower;curseofthegoldenflower;0;0
2006;The Devil Wears Prada;devilwearsprada;0;377
2006;Dreamgirls;dreamgirls;0;118
2006;Marie Antoinette;marieantoinette;1;227
2006;The Queen;queen;0;36259
2006;Babel;babel;0;20227
2006;The Departed;departed;1;1872
2006;Letters from Iwo Jima;lettersfromiwojima;0;34
2006;The Queen;queen;0;36259
2006;United 93;united93;0;238
2006;Babel;babel;0;20227
2006;Blood Diamond;blooddiamond;0;206
2006;Children of Men;childrenofmen;0;114
2006;The Departed;departed;1;1872
2006;United 93;united93;0;238
2006;After the Wedding;afterthewedding;0;1
2006;Days of Glory (Indigènes);;0;0
2006;The Lives of Others;livesofothers;1;13
2006;Water;water06;0;61326
2006;Apocalypto;apocalypto;0;100
2006;Click;click;0;113105
2006;Babel;babel;0;20227
2006;The Departed;departed;1;1872
2006;Letters from Iwo Jima;lettersfromiwojima;0;34
2006;Little Miss Sunshine;littlemisssunshine;0;1785
2006;The Queen;queen;0;36259
2006;Apocalypto;apocalypto;0;100
2006;Blood Diamond;blooddiamond;0;206
2006;Flags of Our Fathers;flagsofourfathers;0;11
2006;Letters from Iwo Jima;lettersfromiwojima;1;34
2006;Pirates of the Caribbean: Dead Man's Chest;piratesofthecaribbean2;0;1017
2006;Pirates of the Caribbean: Dead Man's Chest;piratesofthecaribbean2;1;1017
2006;Poseidon;poseidon;0;1069
2006;Superman Returns;superman06;0;281
2006;Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;;0;0
2006;Children of Men;childrenofmen;0;114
2006;The Departed;departed;1;1872
2006;Little Children;littlechildren;0;59
2006;Notes on a Scandal;notesonascandal;0;16
2006;Babel;babel;0;20227
2006;Letters from Iwo Jima;lettersfromiwojima;0;34
2006;Little Miss Sunshine;littlemisssunshine;1;1785
2006;The Queen;queen;0;36259
2007;Michael Clayton;michaelclayton;0;162
2007;There Will Be Blood;therewillbeblood;1;930
2007;Sweeney Todd The Demon Barber of Fleet Street;;0;3
2007;In the Valley of Elah;inthevalleyofelah;0;4
2007;Eastern Promises;easternpromises;0;31
2007;The Assassination of Jesse James by the Coward Robert Ford;jessejames;0;8
2007;No Country for Old Men;nocountryforoldmen;1;390
2007;Into the Wild;intothewild;0;173
2007;Michael Clayton;michaelclayton;0;162
2007;Elizabeth: The Golden Age;goldenage;0;20174
2007;Away from Her;awayfromher;0;82
2007;La Vie en Rose;lavieenrose;1;33
2007;The Savages;savages;0;165
2007;Juno;juno;0;46221
2007;American Gangster;americangangster;0;244
2007;Atonement;atonement;0;2306
2007;Gone Baby Gone;gonebabygone;0;40
2007;Michael Clayton;michaelclayton;1;162
2007;American Gangster;americangangster;0;244
2007;Atonement;atonement;0;2306
2007;The Golden Compass;goldencompass;0;28
2007;Sweeney Todd The Demon Barber of Fleet Street;;1;3
2007;There Will Be Blood;therewillbeblood;0;930
2007;The Assassination of Jesse James by the Coward Robert Ford;jessejames;0;8
2007;Atonement;atonement;0;2306
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;No Country for Old Men;nocountryforoldmen;0;390
2007;There Will Be Blood;therewillbeblood;1;930
2007;Across the Universe;acrosstheuniverse;0;171
2007;Atonement;atonement;0;2306
2007;Elizabeth: The Golden Age;goldenage;1;20174
2007;La Vie en Rose;lavieenrose;0;33
2007;Sweeney Todd The Demon Barber of Fleet Street;;0;3
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;Juno;juno;0;46221
2007;Michael Clayton;michaelclayton;0;162
2007;No Country for Old Men;nocountryforoldmen;1;390
2007;There Will Be Blood;therewillbeblood;0;930
2007;The Bourne Ultimatum;bourneultimatum;1;6
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;Into the Wild;intothewild;0;173
2007;No Country for Old Men;nocountryforoldmen;0;390
2007;There Will Be Blood;therewillbeblood;0;930
2007;Beaufort;beaufort;0;297
2007;The Counterfeiters;counterfeiters;1;2
2007;Katyn;;0;72
2007;Mongol;mongol;0;2073
2007;12;;0;1702582
2007;La Vie en Rose;lavieenrose;1;33
2007;Norbit;norbit;0;243
2007;Pirates of the Caribbean: At World's End;piratesofthecaribbean3;0;1017
2007;Atonement;atonement;0;2306
2007;Juno;juno;0;46221
2007;Michael Clayton;michaelclayton;0;162
2007;No Country for Old Men;nocountryforoldmen;1;390
2007;There Will Be Blood;therewillbeblood;0;930
2007;The Bourne Ultimatum;bourneultimatum;1;6
2007;No Country for Old Men;nocountryforoldmen;0;390
