year;name;boxOfficeId;won;twitter_mentions
2006;Pirates of the Caribbean: Dead Man's Chest;piratesofthecaribbean2;0;1359
2006;The Prestige;prestige;0;2115
2006;The Black Dahlia;blackdahlia;0;75
2006;Children of Men;childrenofmen;0;153
2006;The Illusionist;illusionist;0;131
2006;The Prestige;prestige;0;2115
2006;Curse of the Golden Flower;curseofthegoldenflower;0;2
2006;The Devil Wears Prada;devilwearsprada;0;618
2006;Dreamgirls;dreamgirls;0;1676
2006;Marie Antoinette;marieantoinette;1;245
2006;The Queen;queen;0;125007
2006;Babel;babel;0;24802
2006;The Departed;departed;1;5473
2006;Letters from Iwo Jima;lettersfromiwojima;0;49
2006;The Queen;queen;0;125007
2006;United 93;united93;0;239
2006;Babel;babel;0;24802
2006;Blood Diamond;blooddiamond;0;280
2006;Children of Men;childrenofmen;0;153
2006;The Departed;departed;1;5473
2006;United 93;united93;0;239
2006;After the Wedding;afterthewedding;0;106
2006;Days of Glory (Indigènes);;0;0
2006;The Lives of Others;livesofothers;1;245
2006;Water;water06;0;195727
2006;Apocalypto;apocalypto;0;125
2006;Click;click;0;188032
2006;Babel;babel;0;24802
2006;The Departed;departed;1;5473
2006;Letters from Iwo Jima;lettersfromiwojima;0;49
2006;Little Miss Sunshine;littlemisssunshine;0;1835
2006;The Queen;queen;0;125007
2006;Apocalypto;apocalypto;0;125
2006;Blood Diamond;blooddiamond;0;280
2006;Flags of Our Fathers;flagsofourfathers;0;20
2006;Letters from Iwo Jima;lettersfromiwojima;1;49
2006;Pirates of the Caribbean: Dead Man's Chest;piratesofthecaribbean2;0;1359
2006;Pirates of the Caribbean: Dead Man's Chest;piratesofthecaribbean2;1;1359
2006;Poseidon;poseidon;0;1404
2006;Superman Returns;superman06;0;295
2006;Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;;0;0
2006;Children of Men;childrenofmen;0;153
2006;The Departed;departed;1;5473
2006;Little Children;littlechildren;0;386
2006;Notes on a Scandal;notesonascandal;0;21
2006;Babel;babel;0;24802
2006;Letters from Iwo Jima;lettersfromiwojima;0;49
2006;Little Miss Sunshine;littlemisssunshine;1;1835
2006;The Queen;queen;0;125007
2007;Michael Clayton;michaelclayton;0;174
2007;There Will Be Blood;therewillbeblood;1;1036
2007;Sweeney Todd The Demon Barber of Fleet Street;;0;0
2007;In the Valley of Elah;inthevalleyofelah;0;6
2007;Eastern Promises;easternpromises;0;35
2007;The Assassination of Jesse James by the Coward Robert Ford;jessejames;0;11
2007;No Country for Old Men;nocountryforoldmen;1;483
2007;Into the Wild;intothewild;0;632
2007;Michael Clayton;michaelclayton;0;174
2007;Elizabeth: The Golden Age;goldenage;0;27981
2007;Away from Her;awayfromher;0;1941
2007;La Vie en Rose;lavieenrose;1;205
2007;The Savages;savages;0;2513
2007;Juno;juno;0;63887
2007;American Gangster;americangangster;0;310
2007;Atonement;atonement;0;2422
2007;Gone Baby Gone;gonebabygone;0;55
2007;Michael Clayton;michaelclayton;1;174
2007;American Gangster;americangangster;0;310
2007;Atonement;atonement;0;2422
2007;The Golden Compass;goldencompass;0;44
2007;Sweeney Todd The Demon Barber of Fleet Street;;1;0
2007;There Will Be Blood;therewillbeblood;0;1036
2007;The Assassination of Jesse James by the Coward Robert Ford;jessejames;0;11
2007;Atonement;atonement;0;2422
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;No Country for Old Men;nocountryforoldmen;0;483
2007;There Will Be Blood;therewillbeblood;1;1036
2007;Across the Universe;acrosstheuniverse;0;328
2007;Atonement;atonement;0;2422
2007;Elizabeth: The Golden Age;goldenage;1;27981
2007;La Vie en Rose;lavieenrose;0;205
2007;Sweeney Todd The Demon Barber of Fleet Street;;0;0
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;Juno;juno;0;63887
2007;Michael Clayton;michaelclayton;0;174
2007;No Country for Old Men;nocountryforoldmen;1;483
2007;There Will Be Blood;therewillbeblood;0;1036
2007;The Bourne Ultimatum;bourneultimatum;1;20
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;Into the Wild;intothewild;0;632
2007;No Country for Old Men;nocountryforoldmen;0;483
2007;There Will Be Blood;therewillbeblood;0;1036
2007;Beaufort;beaufort;0;471
2007;The Counterfeiters;counterfeiters;1;30
2007;Katyn;;0;371
2007;Mongol;mongol;0;5014
2007;12;;0;1702582
2007;La Vie en Rose;lavieenrose;1;205
2007;Norbit;norbit;0;506
2007;Pirates of the Caribbean: At World's End;piratesofthecaribbean3;0;1359
2007;Atonement;atonement;0;2422
2007;Juno;juno;0;63887
2007;Michael Clayton;michaelclayton;0;174
2007;No Country for Old Men;nocountryforoldmen;1;483
2007;There Will Be Blood;therewillbeblood;0;1036
2007;The Bourne Ultimatum;bourneultimatum;1;20
2007;No Country for Old Men;nocountryforoldmen;0;483
2007;Ratatouille;ratatouille;0;12413
2007;There Will Be Blood;therewillbeblood;0;1036
2007;Transformers;transformers06;0;5143
2007;The Golden Compass;goldencompass;1;44
2007;Pirates of the Caribbean: At World's End;piratesofthecaribbean3;0;1359
2007;Transformers;transformers06;0;5143
2007;Atonement;atonement;0;2422
2007;Away from Her;awayfromher;0;1941
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;No Country for Old Men;nocountryforoldmen;1;483
2007;There Will Be Blood;therewillbeblood;0;1036
2007;Juno;juno;1;63887
2007;Lars and the Real Girl;larsandtherealgirl;0;205
2007;Michael Clayton;michaelclayton;0;174
2007;Ratatouille;ratatouille;0;12413
2007;The Savages;savages;0;2513
2008;The Visitor;visitor08;0;15554
2008;Frost/Nixon;frostnixon;0;28
2008;Milk;milk;1;540176
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;0;616
2008;The Wrestler;wrestler;0;3952
2008;Milk;milk;0;540176
2008;Tropic Thunder;tropicthunder;0;135
2008;Doubt;doubt;0;49078
2008;The Dark Knight;darkknight;1;4823
2008;Revolutionary Road;revolutionaryroad;0;126
2008;Rachel Getting Married;rachelgettingmarried;0;14
2008;Changeling;changeling08;0;189
2008;Frozen River;frozenriver;0;124
2008;Doubt;doubt;0;49078
